ID,kennziffer,name,height,breite,länge,AUTOMAT SEIT:,start
10501,3,Aachen,202,50.47,6.05,01.07.93,1891
10505,15000,Aachen-Orsbach,231,50.47,6.01,01.04.11,2011
10291,164,Angermünde,54,53.01,13.59,01.11.91,1947
10091,183,Arkona,42,54.4,13.26,01.11.91,1947
10852,232,Augsburg,462,48.25,10.56,10.11.96,1947
10675,282,Bamberg,239,49.52,10.54,09.03.95,1949
10381,403,Berlin-Dahlem (FU),51,52.46,13.3,-,1950
10382,430,Berlin-Tegel,36,52.33,13.18,01.01.95,1963
10384,433,Berlin-Tempelhof,49,52.28,13.24,01.01.95,1948
10224,691,Bremen,5,53.02,8.47,19.06.91,1890
10453,722,Brocken,1142,51.48,10.37,04.06.97,1947
10496,880,Cottbus,69,51.47,14.19,01.11.91,1887
10131,891,Cuxhaven,5,53.52,8.42,01.05.99,1946
10488,1048,Dresden-Klotzsche,227,51.07,13.45,01.09.95,1967
10400,1078,Düsseldorf,37,51.17,6.46,06.10.92,1969
10200,5839,Emden-Flugplatz,0,53.23,7.14,01.07.97,1997
10554,1270,Erfurt-Weimar,316,50.59,10.57,03.07.91,1951
10055,5516,Fehmarn,3,54.31,11.03,05.06.96,1948
10908,1346,Feldberg/Schwarzwald,1490,47.52,8,01.05.95,1945
10578,1358,Fichtelberg,1213,50.25,12.57,09.10.90,1947
10637,1420,Frankfurt/Main,112,50.02,8.35,01.03.93,1949
10815,1468,Freudenstadt,797,48.27,8.24,01.01.91,1949
10439,1504,Fritzlar-Flugplatz,174,51.07,9.17,-,2000
10895,5856,Fürstenzell,476,48.32,13.21,01.01.97,1997
10567,1612,Gera-Leumnitz,311,50.52,12.07,07.11.91,1952
10532,1639,Gießen/Wettenberg,203,50.36,8.39,01.11.96,1939
10499,1684,Görlitz,238,51.09,14.57,26.05.94,1947
10184,1757,Greifswald,2,54.05,13.24,01.01.79,1947
10791,1832,Großer Arber,1436,49.06,13.08,01.03.98,1982
10616,5871,Hahn,497,49.56,7.15,01.01.99,1997
10147,1975,Hamburg-Fuhlsbüttel,11,53.38,9.59,05.09.95,1936
10338,2014,Hannover,59,52.27,9.4,03.06.92,1936
10015,2115,Helgoland,4,54.1,7.53,23.10.96,1952
10685,2261,Hof,567,50.18,11.52,12.02.98,1947
10962,2290,Hohenpeißenberg,977,47.48,11,09.12.93,1781
10427,2483,Kahler Asten,839,51.11,8.29,25.10.95,1955
10727,2522,Karlsruhe,112,49.02,8.21,25.07.96,1876
10438,2532,Kassel,231,51.17,9.26,01.09.99,1951
10946,2559,Kempten,705,47.43,10.2,29.04.92,1952
10046,2564,Kiel-Holtenau,31,54.22,10.08,01.05.13,1986
10513,2667,Köln-Bonn,92,50.51,7.09,01.12.93,1957
10929,2712,Konstanz,443,47.4,9.11,16.08.93,1972
10805,2812,Lahr,155,48.21,7.49,01.09.96,1950
10469,2932,Leipzig/Halle,131,51.26,12.14,01.04.90,1972
10124,102,Leuchtturm Alte Weser,32,53.51,8.07,-,1998
10044,2961,Leuchtturm Kiel,5,54.3,10.16,-,1998
10393,3015,Lindenberg,112,52.12,14.07,28.11.76,1947
10430,3028,"Lippspringe, Bad",157,51.47,8.5,06.08.92,1951
10020,3032,List/Sylt,26,55,8.24,08.12.95,1937
10361,3126,Magdeburg,76,52.06,11.35,01.01.93,1947
10729,5906,Mannheim,96,49.3,8.33,01.08.93,1936
10264,3196,Marnitz,81,53.19,11.56,01.07.92,1947
10548,3231,Meiningen,450,50.33,10.22,01.01.92,1979
10315,1766,Münster/Osnabrück,48,52.08,7.42,01.08.95,1989
10270,3552,Neuruppin,38,52.54,12.48,01.01.76,1961
10113,3631,Norderney,11,53.42,7.09,01.10.93,1947
10506,3660,Nürburg-Barweiler,485,50.22,6.52,06.03.95,1995
10763,3668,Nürnberg,314,49.3,11.03,05.12.95,1955
10948,3730,Oberstdorf,806,47.23,10.16,01.08.94,1936
10641,7341,Offenbach-Wetterpark,119,50.05,8.47,01.07.05,2005
10742,3761,Öhringen,276,49.12,9.31,01.07.92,1947
10379,3987,Potsdam,81,52.23,13.03,17.10.78,1893
10776,4104,Regensburg,365,49.02,12.06,15.03.94,1947
10731,4177,Rheinstetten,116,48.58,8.2,01.11.08,1948
10170,4271,Rostock-Warnemünde,4,54.01,12.04,19.09.90,1947
10708,4336,Saarbrücken/Ensheim,320,49.12,7.06,24.06.96,1951
10035,4466,Schleswig,47,54.31,9.32,18.04.91,1947
10162,4625,Schwerin,59,53.38,11.23,04.03.88,1890
10836,4887,Stötten,734,48.4,9.51,02.12.94,1947
10788,4911,Straubing,351,48.49,12.33,25.10.96,1951
10738,4931,Stuttgart/Echterdingen,371,48.41,9.13,04.10.95,1953
10609,5100,Trier-Petrisberg,265,49.44,6.39,13.06.01,1937
10007,954,UFS Deutsche Bucht,0,54.1,7.27,-,1998
10004,1228,UFS TW Ems,0,54.1,6.21,-,2000
10544,5371,Wasserkuppe,921,50.29,9.56,01.05.95,1936
10688,5397,Weiden,440,49.4,12.11,04.07.91,1947
10980,5467,Wendelstein,1832,47.42,12,01.01.91,1951
10655,5705,Würzburg,268,49.46,9.57,22.10.92,1901
10961,5792,Zugspitze,2960,47.25,10.59,06.07.94,1900